CPUs,Input Parameters,Output,Simulation Time
128,"[[0.13924427867987638, 0.18784668743887245, 0.10887212702800897, 0.09245595428516803, 0.19527890116374647, 0.2018395732667601, 0.20725216612697187, 0.11710222475552196, 0.10029184552732838, 0.17298088792840854, 0.15428238675240447, 0.2508620795097972]]","[[840353600.0, 835080200.0]]",54.51
128,"[[0.322096377190597, 0.2524706207524878, 0.2047703318053358, 0.200484330251055, 0.3086907326135794, 0.10506996937746262, 0.1710845930528523, 0.21083735734660056, 0.2375055772575639, 0.2031765094091644, 0.29640812341291606, 0.11948973018669602]]","[[908362100.0, 798044900.0]]",299.92
128,"[[0.17932236275018695, 0.3137101442665985, 0.2883386235304469, 0.3014153366563351, 0.09454042536734694, 0.2768277961177721, 0.10648625916980359, 0.18818472344883475, 0.17229078912229884, 0.12773974282550565, 0.0003996261078905161, 0.26712381314699407]]","[[866607900.0, 859946700.0]]",54.83
128,"[[0.23625958460296329, 0.11449884868982446, 0.1540017733969428, 0.18829897836778797, 0.20371291059887725, 0.1566604392303817, 0.2661115409959252, 0.2805867464902751, 0.30438614776175565, 0.34514128359435625, 0.23429293905764798, 0.16765919092189907]]","[[889907800.0, 867242400.0]]",50.97
128,"[[0.0545911887877818, 0.2201910652698434, 0.17931715052557878, 0.1431905896567987, 0.16689499188877888, 0.29243121255418, 0.19645940433426143, 0.24694485903765895, 0.201727932899848, 0.259774658255765, 0.25853771543040305, 0.2189108443876047]]","[[887776100.0, 885135400.0]]",46.09
128,"[[0.25400683498266885, 0.16707628500339966, 0.3736693636646329, 0.23430670501270157, 0.25917259272423904, 0.19847351901942065, 0.232934398126973, 0.081492175652741, 0.13758513024311636, 0.10889853043598026, 0.1866260901557004, 0.01226368526600391]]","[[891220200.0, 889743000.0]]",43.0
128,"[[0.16607670804507135, 0.03859362904296387, 0.22846096292346924, 0.26575164910495563, 0.1394532134021203, 0.24466511636279065, 0.31299231291874396, 0.31232281688374935, 0.2578912884498136, 0.24383183043406884, 0.20947778672091963, 0.3042559649936452]]","[[376194000.0, 376192000.0]]",300.21
128,"[[0.22325043247981197, 0.26365890505610345, 0.14475589139658157, 0.1704742162923843, 0.234544523264281, 0.1225035376555801, 0.145023268774891, 0.15096261674972705, 0.18787946689288362, 0.18464058334760727, 0.11986242877259881, 0.189215437774693]]","[[875915900.0, 871193400.0]]",56.33
128,"[[0.12918785586747578, 0.2903882362314771, 0.21326591539570247, 0.1763023796676964, 0.28997672207275216, 0.23231557306716902, 0.042869198067575304, 0.18011308793909353, 0.1605449148656865, 0.22665465624856945, 0.16305556202447688, 0.2105948284881632]]","[[891412500.0, 891136700.0]]",300.04
128,"[[0.303292351263569, 0.08092830763617283, 0.05672696724904322, 0.3440423128535354, 0.15864246025502982, 0.13828380194208448, 0.27951320128113055, 0.2687803965002943, 0.3685669321333954, 0.19416747480722468, 0.3595099786026825, 0.09527230338603505]]","[[914447900.0, 830686800.0]]",52.62
128,"[[0.18934050102338973, 0.14982584129930013, 0.16183177273075472, 0.21369151057527563, 0.2401845014683155, 0.42423931143462906, 0.21468639399739128, 0.13427654079129475, 0.05926964179499569, 0.272765851682251, 0.09699553097845652, 0.3846159052643586]]","[[903270100.0, 903092100.0]]",44.09
128,"[[0.2481426098325477, 0.20954669973722825, 0.26291175659006516, 0.048490040582002514, 0.11250003618627041, 0.17517039962575098, 0.14751584619342958, 0.22168775510495153, 0.25072854362990443, 0.06732998341981711, 0.24135929290435776, 0.18089193803134362]]","[[873376700.0, 866823500.0]]",53.71
128,"[[0.10870477385238603, 0.13671496870226924, 0.3106108289685847, 0.15746935338009257, 0.3235945311429537, 0.2653611057519813, 0.3462458768523717, 0.35918319540276, 0.2788760349882864, 0.14081301756794184, 0.28606320806837615, 0.23254721164206293]]","[[912877300.0, 912341400.0]]",115.95
128,"[[0.27905394127594335, 0.3534806969872649, 0.1896501727555618, 0.28668424612172233, 0.17759484832493252, 0.16549664685822474, 0.11755436994217101, 0.16329821640805997, 0.17769540394131259, 0.2966736524615078, 0.19317222543890675, 0.13316146873495757]]","[[908909700.0, 744305000.0]]",54.71
128,"[[0.14925325892733285, 0.23406288537994147, 0.12371432979262695, 0.24923501062687536, 0.22375574628248385, 0.2219811980205125, 0.17548944195121563, 0.23778304375476758, 0.2138629605256061, 0.15566533101063923, 0.21704318330297778, 0.2808396694415126]]","[[895742700.0, 894316400.0]]",47.86
128,"[[0.20809367303832849, 0.17947951704431542, 0.2414556771210532, 0.12677931796457767, 0.07287626674529069, 0.021491268839635536, 0.24115284342956672, 0.04998172398650874, 0.11636633618273474, 0.21255338681902852, 0.1451234483072035, 0.1493741098372834]]","[[826706800.0, 824568700.0]]",51.37
128,"[[0.1324723360791894, 0.24098795593265587, 0.342306346657678, 0.27740654137865944, 0.24847819847716573, 0.1489583280956806, 0.28866127687057336, 0.2061044951733096, 0.1397292871882195, 0.2224516071167612, 0.14752729835204764, 0.2761067503340022]]","[[903881000.0, 896666900.0]]",59.07
128,"[[0.36043529226196813, 0.19827524322267528, 0.1869131868290119, 0.14725053274476274, 0.12207795707414659, 0.28698548464638873, 0.06852969205905168, 0.1295908807807764, 0.21068125345046443, 0.15149083273497202, 0.3106122491285313, 0.1605995736446298]]","[[522335400.0, 522335200.0]]",300.06
