CPUs,Input Parameters,Output,Simulation Time
16,"[[0.28276088368325203, 0.08748278774984256, 0.20456323278563532, 0.17468062643469584, 0.17922069476296318, 0.2958676698697061, 0.15319972431192075, 0.2716757955401941, 0.10318459105357615, 0.377495786458613, 0.11816530617189869, 0.1762195275038808]]","[[888708200.0, 844384700.0]]",66.7
16,"[[0.2874433022538772, 0.17830350624233327, 0.19943108623294736, 0.24329011392527497, 0.22515549898280277, 0.251415243877096, 0.2682544520940466, 0.30709727904172507, 0.20580334283067525, 0.29523361720381336, 0.20784891541087666, 0.15938559434322055]]","[[888708200.0, 843600300.0]]",67.0
16,"[[0.2903517606582001, 0.13791579345860305, 0.1437945700999758, 0.21868604943643805, 0.09380301728408125, 0.1827535773149409, 0.13515404311344104, 0.2864675047427084, 0.22208211655915125, 0.17294903050198346, 0.16495089590517292, 0.2667501764664869]]","[[888708200.0, 843600300.0]]",64.21
16,"[[0.2853720684834627, 0.2334544804887378, 0.21660369998607032, 0.10587295305139023, 0.16184244492733396, 0.031028829383808937, 0.09136911078054218, 0.2689691595017963, 0.3105657725016235, 0.24692348342659423, 0.23499422764452543, 0.18810874336195352]]","[[928975900.0, 764044600.0]]",52.74
16,"[[0.28820672375786077, 0.3628295279258474, 0.2785650830335443, 0.14600702686982212, 0.2818717882822078, 0.2745367091349003, 0.3198563176035102, 0.35918092223748344, 0.3215066564647447, 0.043803957027553464, 0.19210308778443702, 0.32136289472440893]]","[[928975900.0, 749317400.0]]",68.06
16,"[[0.121416210717654, 0.2542889500595171, 0.2839759485884019, 0.07873458736392125, 0.16097022077710252, 0.16754657460486988, 0.1902173813737245, 0.010010715467048431, 0.13348200468555388, 0.05753556829022488, 0.18699656485931457, 0.30098725951517746]]","[[902983500.0, 782242300.0]]",56.4
16,"[[0.28213609635536563, 0.21044307038645077, 0.12720583075480935, 0.27708354815046765, 0.1135877079311934, 0.2116053627649227, 0.18110292734810646, 0.25581557906000213, 0.18389967780598304, 0.09620629692019397, 0.2817529885824331, 0.2852205421435233]]","[[148208500.0, 148208400.0]]",55.61
16,"[[0.1245647585189633, 0.174585278139882, 0.19021118518880376, 0.20460769189741346, 0.060472261742014005, 0.141707317226652, 0.16351140900909394, 0.08332691236173312, 0.15082092458971136, 0.31601620759019156, 0.21295502854995682, 0.17147179751885064]]","[[907746900.0, 745458700.0]]",56.52
16,"[[0.28482436357710994, 0.28859107870099665, 0.1874996685779625, 0.34493576598588693, 0.2335059325887212, 0.16915397412802288, 0.22283675852944476, 0.3470136039435696, 0.18758733382462575, 0.23119825950364753, 0.05062947595834605, 0.1721148785001634]]","[[226972400.0, 226972400.0]]",58.3
16,"[[0.12391923795615313, 0.21400409887949046, 0.2198776406241978, 0.1268491916937866, 0.25989160461324445, 0.20066503437339875, 0.20751228170854422, 0.13809870617340608, 0.12083544790504712, 0.2441686313208491, 0.23970837562735892, 0.1804623059783731]]","[[896364100.0, 895896800.0]]",49.51
16,"[[0.12885662501617762, 0.24441809681216714, 0.11142117318484478, 0.2994660476936075, 0.24308628623137146, 0.06094542758342408, 0.3690072490120475, 0.1416291188612908, 0.23211830217424934, 0.09431008630049, 0.2562836285213383, 0.2637253347045729]]","[[328464400.0, 328462500.0]]",51.78
16,"[[0.12209156746414872, 0.0697982695226114, 0.13121666470542465, 0.2312150348953094, 0.20075379669820684, 0.31438829566711674, 0.23231842284136206, 0.11559483623209296, 0.17410763642980245, 0.16373811593696785, 0.16023517460361547, 0.28423143026411984]]","[[897694300.0, 897276900.0]]",58.88
16,"[[0.12594273329784156, 0.12051857644634986, 0.20757254565115585, 0.1871220540665243, 0.33061268590324033, 0.18110674026384924, 0.2834829453461097, 0.12158354483045516, 0.28943243944175395, 0.33196778578785086, 0.14365473659885647, 0.19373024912481396]]","[[332068100.0, 332066100.0]]",54.62
16,"[[0.20167241698537408, 0.10175754768294645, 0.1393635578192158, 0.25533165238539485, 0.23506800212968407, 0.23206580879809754, 0.05864186161039958, 0.22517668949045921, 0.25101635487165314, 0.1527420227501849, 0.0738129436584622, 0.2523122348567831]]","[[458388800.0, 458388400.0]]",52.22
16,"[[0.12832406550127434, 0.19630119065030735, 0.2650756562732683, 0.1594516223977314, 0.19570227774207358, 0.23872346855337495, 0.1092889708800159, 0.10360560310384806, 0.25757687481604397, 0.15852711465731054, 0.2953345834862309, 0.34439308078638575]]","[[150104000.0, 150103900.0]]",54.81
16,"[[0.28011320432808684, 0.14746874869125823, 0.2609515293692402, 0.19803617916880029, 0.31293726627625007, 0.135321138257959, 0.2495036165509317, 0.2971869038187585, 0.05011332470733723, 0.15028492097076768, 0.3490752326814057, 0.29244994902795596]]","[[585285400.0, 585282900.0]]",289.41
16,"[[0.20281169791466394, 0.27839416656132143, 0.2731529049043359, 0.1834358667265481, 0.1785614995546802, 0.08472657577054363, 0.2732031068439388, 0.20510060759173443, 0.2719214983108395, 0.10572593204444289, 0.1298712417616653, 0.20301646931764558]]","[[400322300.0, 400057100.0]]",54.47
16,"[[0.20485224823654463, 0.3275776550184506, 0.18305771809324667, 0.22722477044517578, 0.09408193493498265, 0.21927270077483252, 0.22579772449488314, 0.20852659602199872, 0.1627382050313105, 0.2500551191056497, 0.17297335479183915, 0.12916208880186103]]","[[901023400.0, 900468500.0]]",58.87
16,"[[0.20012812933086202, 0.15457703678937382, 0.19605872725782023, 0.2919230701069794, 0.11346939393648482, 0.19978796396778958, 0.3315533940616321, 0.21667250109858557, 0.23090384601799122, 0.35302422708716863, 0.2701996025661146, 0.14500710945457843]]","[[708834500.0, 708764400.0]]",55.21
16,"[[0.20126085917886985, 0.20458731121816356, 0.21312942875210844, 0.15434160393616136, 0.315282677600771, 0.25882642627025043, 0.12083653765077426, 0.2420928577772286, 0.26427607957974614, 0.22734811433651703, 0.3263654806256495, 0.024288664441409313]]","[[880560900.0, 879524600.0]]",128.55
16,"[[0.2044892286769759, 0.18509258221996003, 0.2552850256890458, 0.12092219606154013, 0.16260967642132862, 0.33713623669221177, 0.20141064303690162, 0.21949693537370224, 0.1188289573748118, 0.16850035301867233, 0.22707923604265678, 0.21477811182579237]]","[[869915900.0, 865856800.0]]",55.62
16,"[[0.20604906318163474, 0.14654295283998142, 0.20023806623159116, 0.06142249425234461, 0.2803895887763474, 0.11279466781694844, 0.1961370562863604, 0.2365286229402448, 0.14450626930428775, 0.30269925409265064, 0.1971656503336445, 0.08416657637433486]]","[[351697400.0, 351697100.0]]",47.24
16,"[[0.193413899806659, 0.2514264055605546, 0.22256106338255127, 0.19431157552439346, 0.1966052942399316, 0.1480824859783103, 0.24251605092831127, 0.157419435345831, 0.06069839091115073, 0.2366019534869957, 0.31089840855162165, 0.09013454951674062]]","[[168516200.0, 168515600.0]]",54.79
16,"[[0.12651800723343973, 0.29976077931170964, 0.1778964303402664, 0.2611087145273524, 0.14282869163945333, 0.2877976987731914, 0, 0.07757955562207874, 0.24144157419155698, 0.2320210620581246, 0.10456260489039484, 0.15696494078860232]]","[[137045900.0, 137045900.0]]",49.51
16,"[[0.19299883370670345, 0.19041348296570532, 0.19286912798533462, 0.2701390927511242, 0.2429232945475735, 0.36475756667145387, 0.18732005376819544, 0.18528544884282508, 0.179488803601575, 0.34002639009096913, 0.26407278859213024, 0.12029547441679148]]","[[896243300.0, 896146100.0]]",56.91
16,"[[0.18997605635909132, 0.16751515376130205, 0.2680032730366302, 0.09624340707685469, 0.2607712804788967, 0.18881534237324565, 0.10569943227036331, 0.17523625692620148, 0.30030063974080357, 0.16764510979035993, 0.24652705272141665, 0.20362219455505937]]","[[877738700.0, 876882600.0]]",49.26
16,"[[0.19144701516590665, 0.11008770456307305, 0.13499878078716873, 0.3283868167451255, 0.14474941275886394, 0.12601806286010206, 0.21674718804054688, 0.168596970356218, 0.19891121117814534, 0.15547342086255672, 0.08923466121962802, 0.2323511100747908]]","[[877738700.0, 865209800.0]]",54.18
16,"[[0.19185688423314134, 0.3143615455656146, 0.28867798998137373, 0.16989583366371241, 0.3279216690896277, 0.2175617055189456, 0.16027701170226769, 0.1991472863069183, 0.08506168203664127, 0.08541431563707408, 0.13599353464963082, 0.21692304333627388]]","[[877738700.0, 864825000.0]]",57.52
16,"[[0.18804720487087545, 0.26303775768144744, 0.17996776923234062, 0.21419234288169264, 0.20084593069794013, 0.10335806861199964, 0.1435902565289614, 0.19026786050521344, 0.2145783368765278, 0.24182594052046685, 0.15353191727121646, 0.13973804272102278]]","[[215985900.0, 215985100.0]]",49.69
16,"[[0.3132915403427521, 0.18369325131026987, 0.2507395536757044, 0.07000797247674875, 0.3362139977399635, 0.22308720965527776, 0.18580787204681734, 0.14410170350394677, 0.1930068800838114, 0.2150882557320503, 0.24193295111147306, 0.2576017292027894]]","[[500432700.0, 500030800.0]]",48.53
16,"[[0.20331205115305376, 0.2263159616984364, 0.12024918086291972, 0.20011222929980305, 0.22361373967422304, 0.16075061502631804, 0.16995985921734744, 0.25173271424594085, 0.15684847391305778, 0.027888627201933164, 0.2028821782829521, 0.23852792159466674]]","[[907602300.0, 907511400.0]]",47.86
16,"[[0.18960094694899973, 0.22081478676295993, 0.11507415961496607, 0.23913218246880902, 0.05300906208651304, 0.2653320203487877, 0.2592811894336781, 0.15248979250408137, 0.2076917778318417, 0.0699875433166034, 0.21969958622780758, 0.24732844166286322]]","[[907602300.0, 907485800.0]]",49.56
16,"[[0.30590860369105877, 0.20167873686108967, 0.3204786655725408, 0.1847145813006927, 0.1558417382535074, 0.23650585747405412, 0.25767076519369025, 0.09274197366625023, 0.22099227015421252, 0.1825482903761541, 0.2914700263530321, 0.16652037464258826]]","[[300602200.0, 300601200.0]]",55.7
