CPUs,Input Parameters,Output,Simulation Time
32,"[[0.14265773374200372, 0.15768717463506354, 0.16856296746190155, 0.2816859808282966, 0.15786899940468696, 0.14055867087012097, 0.19055054778211944, 0.20887842560468867, 0.12815818220230737, 0.12294144085034311, 0.10007040711883672, 0.16014007714576445]]","[[19946650.0, 19946650.0]]",4.13
32,"[[0.22153825309588304, 0.13465649349842718, 0.05331114889816216, 0.23374090859293797, 0.38324325820128274, 0.20765815971429913, 0.072241698521046, 0.17148945523797182, 0.30230714689956967, 0.22881756097615372, 0.2423441726930904, 0.2686608262122235]]","[[64171120.0, 64171120.0]]",6.11
32,"[[0.2868605286562351, 0.11504937059612114, 0.25966250941029556, 0.2754169613698453, 0.2856570292495306, 0.12311438332259295, 0.43733696671605843, 0.18013682989572982, 0.14907827786139138, 0.15444026662271076, 0.12556788453513318, 0.26083773619290085]]","[[25773940.0, 25773940.0]]",9.02
32,"[[0.1492983897447137, 0.14821063533834378, 0.25492740726961666, 0.1596406205907744, 0.2383655288772792, 0.19003259447858653, 0.09678379647934873, 0.3277818611088843, 0.20126972543361535, 0.24713412322425243, 0.14132302732225008, 0.31178289716816837]]","[[64171120.0, 64171120.0]]",6.21
32,"[[0.29791167321466455, 0.228370034368266, 0.2793275349298077, 0.1759025318681866, 0.24239769976750739, 0.2948021839727234, 0.28054719349466434, 0.031712803359714464, 0.21444089446127818, 0.2620950150339115, 0.2785569520215004, 0.2298603985842461]]","[[64171120.0, 64171120.0]]",8.87
32,"[[0.017511872816995427, 0.2656497015709781, 0.15576052216659925, 0.18493544021372849, 0.11510324495952473, 0.32398413602506193, 0.16562634048807298, 0.30765914599783317, 0.40137857725498405, 0.23400950761047798, 0.2925788670734478, 0.12598477324446822]]","[[64171120.0, 64171100.0]]",4.2
32,"[[0.15060284055408524, 0.2852508259538539, 0.2060506969815549, 0.08461152840164737, 0.03810348683394482, 0.16375933325442044, 0.23076408776150137, 0.2755896427026203, 0.17148267731582614, 0.15321964326311333, 0.19489944771226048, 0.11708466646190575]]","[[47644860.0, 47644860.0]]",9.69
32,"[[0.295266946825658, 0.14523471013517092, 0.21389363240708767, 0.14389852894295463, 0.10733008282546233, 0.2563016917622814, 0.17977520337851832, 0.11338929574563578, 0.15504572910051068, 0.1385034683510193, 0.21632252704077531, 0.18425721315279714]]","[[64171120.0, 64171120.0]]",5.09
32,"[[0.33223819121201714, 0.09036883327143597, 0.15187239155233262, 0.05657743795471537, 0.1899198045059248, 0.28150382756623016, 0.10890212636371471, 0.15532844242896074, 0.3308902231207529, 0.04560405926568112, 0.26061407166688666, 0.215271990413045]]","[[64171120.0, 64171120.0]]",8.81
32,"[[0.16448746414408527, 0.18350787163909185, 0.09031971147296669, 0.19672273800989226, 0.25563860277555445, 0.18237798634499083, 0.1760653470904835, 0.2201032217211798, 0.14172482700770547, 0.2062979707820255, 0.1821991517777676, 0.0873476982332958]]","[[64171120.0, 64171110.0]]",6.2
32,"[[0.25593808342723495, 0.3048582521276832, 0.3313717185812415, 0.07170091656897798, 0.13235171073544136, 0.20985692701655204, 0.2911526248067281, 0.21231864530671649, 0.26859927967816805, 0.21143686726466157, 0.1885429261610413, 0.1502640611647254]]","[[64171120.0, 64171120.0]]",15.51
32,"[[0.1256747479734116, 0.379546536746719, 0.2641506447552724, 0.23928717750198947, 0.20874588444114042, 0.009809115090115589, 0.24269675076290237, 0.2596727164202458, 0.16086943560803846, 0.2986903557532113, 0.06124904433831868, 0.19438211712049058]]","[[64171120.0, 64171120.0]]",16.42
32,"[[0.23548529968267576, 0.16560055149305108, 0.35001375737034573, 0.33119138252577884, 0.09371225807828033, 0.38589428244335056, 0.15858252210656243, 0.24928291752428536, 0, 0.27457009399295623, 0.1483573866011068, 0.27116256116035264]]","[[64171120.0, 64171120.0]]",8.24
32,"[[0.10203707349415207, 0.2234219547400718, 0.14084922495736654, 0.3060980411694832, 0.1756048158963723, 0.1925959767944372, 0.33866172430285674, 0.11796000275089685, 0.2318487308106966, 0.215013460145918, 0.4322823793540552, 0.18041112163570083]]","[[37096180.0, 37096180.0]]",7.48
32,"[[0.17712704676152172, 0.21840935985987775, 0.22832422008435305, 0.19882642863474967, 0.20251943512318316, 0.14327793598743827, 0.22391351087261824, 0.1742324909722592, 0.05191076361835409, 0, 0.2899328329713468, 0.2568341640015792]]","[[15998830.0, 15998830.0]]",9.38
32,"[[0.38282066972035955, 0.3271072559764653, 0.22852608094618954, 0.29879720711795776, 0.32267625328890537, 0.17961265458790782, 0.19508034421021297, 0.2652267154594762, 0.25734295159938575, 0.3246775799548642, 0.26293177272723794, 0.32112524850922614]]","[[175811.3, 175811.3]]",14.05
32,"[[0.27428715611304866, 0.25647140719698885, 0.11904355722350606, 0.139291169973407, 0.17479724433980046, 0.21790797166418657, 0.2202039301185686, 0.297341919628234, 0.19219540886386266, 0.2524125896455952, 0.11277294555452305, 0.2493562923914564]]","[[527433.9, 527433.9]]",5.61
32,"[[0.25730943528786654, 0.19224715226820202, 0.24378896208567477, 0.1624031899205995, 0.21932559973117513, 0.2361745030095418, 0.17368604457279527, 0.23266230460593074, 0.09005731188274062, 0.18902058976414654, 0.13304664693009716, 0.21071188339144553]]","[[64171120.0, 64171120.0]]",55.77
32,"[[0.20825671548663885, 0.10822261439336955, 0.2860431822622461, 0.22483452245206487, 0.2129836791575777, 0.21528590340963874, 0.19105057777811196, 0.13011808032399538, 0.17184887989917974, 0.21701286053374746, 0.3032597975453831, 0.137517855354655]]","[[64171120.0, 64171120.0]]",10.61
32,"[[0.17257508585946016, 0.21069831656125926, 0.33365897790560184, 0.21862475362431413, 0.14859013843495716, 0.2770594380441836, 0.05272058718340916, 0.10157048318132714, 0.0717528675515782, 0.19927049659370896, 0.18117176589575337, 0.18743799119322116]]","[[52919200.0, 52919200.0]]",6.33
32,"[[0.3096593814595653, 0.15145934847805548, 0.1374490647408036, 0.2103099109732893, 0.13852376565752653, 0.17336344155010458, 0.2522402865994532, 0.20519150996702146, 0.22930582454500853, 0.14630631640822142, 0.2820987088230223, 0.28219019783909777]]","[[64171120.0, 64171120.0]]",6.19
32,"[[0.17843703051691945, 0.061039105316447934, 0.29993232471439757, 0.11211970165864689, 0.12256227211869915, 0.10462245026629516, 0.11027182932908751, 0.19502930768551294, 0.2872556274502421, 0.428743308578291, 0.22246369692957915, 0.07319929992155663]]","[[64171120.0, 64171120.0]]",7.41
32,"[[0.14403233423906886, 0.27766947007434595, 0.10618720536407639, 0.20388372327708282, 0.3015952250679051, 0.09644807998879489, 0.2671554281171006, 0.23657331396686276, 0.33305002474262524, 0.276371596182125, 0.16958099071656416, 0.20070279676273864]]","[[58193540.0, 58193530.0]]",6.51
32,"[[0.19065351406568273, 0.2502143931119251, 0.19335287527180436, 0.15761723152088433, 0.3177149891289795, 0.1185975459185946, 0.30328233194160636, 0.13495556542412984, 0.2500173591304573, 0.1313407080084037, 0.20998574463883232, 0.14257305707952342]]","[[64171120.0, 64171120.0]]",6.51
32,"[[0.1658711706876373, 0.3442186873144605, 0.1643123345758762, 0.11982304879220394, 0.18204873667571286, 0.15514661553571363, 0.28967741462578833, 0.25270585835508713, 0.291963073735256, 0.19323469857958547, 0.12377604471446421, 0.2876394461994534]]","[[24599830.0, 24599830.0]]",17.67
32,"[[0.10468237500066362, 0, 0.1971967356727218, 0.2434737678769171, 0.2639151910785816, 0.16815322533903393, 0.15734106757074837, 0, 0.18941292457005246, 0.18456215217704364, 0.24986824071610397, 0.23226701455884682]]","[[29874170.0, 29874170.0]]",6.27
32,"[[0.2493663137143156, 0.2941892884665383, 0.18319005024654952, 0.22047689950283952, 0.2719042312261163, 0.2595548110917065, 0.20891500850536376, 0.3424608492528365, 0.17598879608709023, 0.10458758360097233, 0.16308216060585803, 0.30187668907607573]]","[[64171120.0, 64171120.0]]",12.86
32,"[[0.09040275420985135, 0.1959733354197205, 0.2842985402662204, 0.0375185167865453, 0.2961430587069879, 0.2643170294368697, 0.21528313937524465, 0.22911422397240627, 0.22480974330475934, 0.17838406792382924, 0.3247002072330243, 0.10037880721959745]]","[[64171120.0, 64171120.0]]",8.82
