CPUs,Input Parameters,Output,Simulation Time
8,"[[0.13341984175924385, 0.31639296261993816, 0.12010687742927142, 0.11508497049004816, 0.21045917265657266, 0.18651133340404846, 0.08649648968412835, 0.22479336927027202, 0.12221049843551536, 0.27509447481603483, 0.07932231419071774, 0.2878667450932231]]","[[64171120.0, 64171120.0]]",4.48
8,"[[0.22886336917689767, 0.1641331153914553, 0.2199049485577067, 0.23958500420748657, 0.08087297235103307, 0.3150603503648159, 0.20102621556863587, 0.1309785481204922, 0.2781786381117747, 0.10513987561300797, 0.2526341492668531, 0.17927637406068703]]","[[64171120.0, 64171060.0]]",4.74
8,"[[0.15556573881576463, 0.13353778043951417, 0.29278406412392644, 0.3602496844118722, 0.2793159278466964, 0.1197706091033346, 0.30883125509421133, 0.2905823800633048, 0.1869512866531547, 0.25290287362475816, 0.18824041327520552, 0.24122925382336385]]","[[64171120.0, 64171120.0]]",4.94
8,"[[0.2893011820857161, 0.21079839294400435, 0.17471561847145484, 0.18734237515755456, 0.1561137859108849, 0.22879451131223152, 0.19412962712196538, 0.18809556837621405, 0.21251261178475175, 0.19288246208916435, 0.2904769807235335, 0.06272924200761373]]","[[64171120.0, 64171120.0]]",4.46
8,"[[0.10711414510989747, 0.1975389534793971, 0.17579740450563391, 0.09383942268718011, 0.23402372849802228, 0.09417044088371447, 0.23231167148930493, 0.08437319718225444, 0.2972049180991245, 0.17192679441209582, 0.22155646054081296, 0.339085354236977]]","[[64171120.0, 64171120.0]]",4.51
8,"[[0.2071281461249851, 0.2552518805520484, 0.29038996035274, 0.2029616443919893, 0.13763490039806783, 0.2162247818398492, 0.14148357449341642, 0.2505882754175294, 0.10144854045777549, 0.21646377551067328, 0.13537239198298703, 0.15922063981547593]]","[[64171120.0, 64171120.0]]",4.66
8,"[[0.17867022986024444, 0.2268770998159389, 0.23145003179579657, 0.2616055837435374, 0.32233792718299487, 0.1732812266469152, 0.16278301488493957, 0.16318360650090383, 0.22731921084149553, 0.13847121305261767, 0.36581016205574723, 0.22109279675005192]]","[[64171120.0, 64171120.0]]",5.23
8,"[[0.3304277410646045, 0.10410174835557615, 0.0977368152713637, 0.1727703532735828, 0.1859035781012229, 0.28772563001587154, 0.25675552501219934, 0.383970158027399, 0.17283102551489093, 0.39953129740102644, 0.1648671147816484, 0.11279096171639287]]","[[64171120.0, 64171120.0]]",4.72
8,"[[0.11469439304547288, 0.032783483377876094, 0.20013756774345642, 0.19562719960494726, 0.11680817046577115, 0.15115783726858378, 0.33203257447436363, 0.26160810248061794, 0.19002913207898764, 0.11411752870257869, 0.015605509713839671, 0.31886004196840356]]","[[64171120.0, 64171120.0]]",4.73
8,"[[0.24237485017445726, 0.24823305161027412, 0.14543502684327414, 0.3196860730497025, 0.24646323035309775, 0.2607286327174283, 0.1764390125994546, 0.18057771890688804, 0.20933492515838967, 0.3081821562992417, 0.2367745992065594, 0.1677946056072224]]","[[64171120.0, 64171120.0]]",4.41
8,"[[0.16963881656187885, 0.283270801401713, 0.15289766172318336, 0.22923108533769027, 0.19975916735138974, 0.07252786953154261, 0.06385386785618338, 0.20621857071045174, 0.13602884995197367, 0.1549900601167911, 0.17679884277469077, 0.2000217338474099]]","[[64171120.0, 64171120.0]]",4.46
8,"[[0.2680136817141012, 0.17843876236648817, 0.3476042932838585, 0.13195212600748896, 0.294118190245643, 0.21118023462294908, 0.21935463298802435, 0.11940918869183544, 0.26417644684929253, 0.20117426745782335, 0.2667760886794708, 0.13914724377997909]]","[[64171120.0, 64171120.0]]",5.05
8,"[[0.074698332897604, 0.21659790084178662, 0.26026229889839547, 0.15478665323096324, 0.018026441517294794, 0.1438699255601387, 0.15429745494049218, 0.15205070861907377, 0.25202347734922226, 0.23451719761705359, 0.20712368362274064, 0.2603259664866213]]","[[64171120.0, 64171120.0]]",4.46
8,"[[0.22028515712387384, 0.12474638588089812, 0.1941287869675812, 0.2874769436600145, 0.22442426804806204, 0.25217254630195235, 0.2825095476777388, 0.30989573752117155, 0.14828065146556155, 0.17678690264672617, 0.1180239001969635, 0.19958586902382053]]","[[64171120.0, 64171120.0]]",4.46
8,"[[0.19070289695341966, 0.1574529093912268, 0, 0.21734539171923473, 0.16854510364419623, 0.19076420448013556, 0.23966821801341393, 0.04211703094787575, 0.3475485637051624, 0.2538706826712302, 0.3076618165048837, 0.23181827062920468]]","[[64171120.0, 64171120.0]]",3.96
8,"[[0.29654317035796984, 0.3368447858940754, 0.2520804131291052, 0.021148660234393324, 0.2590692608478134, 0.34641194003945774, 0.11371329102516817, 0.2340927621469986, 0.0492719908710354, 0.06011787867207127, 0.15308626911718592, 0.0800204024596255]]","[[64171120.0, 64171120.0]]",4.51
8,"[[0.14270759752064777, 0.1740910612724184, 0.2707535360902644, 0.2762561116255705, 0.1914674883667874, 0.23717924743660834, 0.18495303549134948, 0.14390659553371554, 0.08677655916403007, 0.04738711439639803, 0.10882578527627937, 0.23038814209907038]]","[[64171120.0, 64171120.0]]",4.55
8,"[[0.2355237102415207, 0.2936209069518127, 0.18603141673813323, 0.1467463842098287, 0.3066049610839837, 0.12712420052401435, 0.4031938187612207, 0.21420182303438168, 0.3125449366430485, 0.2695211711464191, 0.23920147907126527, 0.10629778134158559]]","[[64171120.0, 64171120.0]]",4.57
8,"[[0.14827728783998106, 0.20144819926975316, 0.09254900449481782, 0.06633209104467555, 0.12777315709203113, 0.3029088297897448, 0.21681521458691452, 0.1979733002645067, 0.16635664088161745, 0.18556566330643853, 0.19932940675391586, 0.26277365864478347]]","[[64171120.0, 64171090.0]]",4.37
8,"[[0.27727186078276966, 0.14578924068525045, 0.2323133627264825, 0.22405757346190447, 0.24173325587155278, 0.1785387647409779, 0.05084231241855369, 0.2724412067579025, 0.2342295444205141, 0.22857254436914926, 0.2703854136890719, 0.18849228768853618]]","[[64171120.0, 64171120.0]]",4.42
8,"[[0.09257526961891364, 0.2680643839652431, 0.21739325368323997, 0.3041041860546959, 0.16413975467325256, 0.27968423204184384, 0.2788568760985742, 0.2394713540701645, 0.2893686925419386, 0.21134960323484253, 0.21596224642270967, 0.2111478966483191]]","[[64171120.0, 64171120.0]]",4.37
8,"[[0.20144969828863435, 0.18827032399919344, 0.12127034352447132, 0.1897442334373288, 0.2683959230772186, 0.164975510838424, 0.15180744401767315, 0.10854164290367269, 0.11181944642502491, 0.1540618598324436, 0.14187934395448448, 0.13673656871146572]]","[[64171120.0, 64171040.0]]",4.76
8,"[[0.18456971661786542, 0.08110625428389798, 0.1621626577313469, 0.14004672207014424, 0.06067838469618031, 0.22427881516794826, 0.12816490143191728, 0.3230982363968016, 0.21902523447491656, 0.2992219608263571, 0.33422625354618984, 0.29291197172789013]]","[[64171120.0, 64171110.0]]",4.94
8,"[[0.3677885586681319, 0.2369995713760237, 0.3175038866644925, 0.2355335716730857, 0.21584716479623228, 0.10469498488803362, 0.24982396355627973, 0.1747030936122744, 0.18082189960152212, 0.12573204287492218, 0.17149985671139123, 0.16918838788570714]]","[[64171120.0, 64171120.0]]",4.42
8,"[[0.12422535904205835, 0.2444072469191903, 0.19327814061945064, 0.20876014964223566, 0.28641080001443886, 0.20335348877484888, 0.20931966064571103, 0.18358440859212738, 0.15592751805189364, 0.3254295913410522, 0.07203402465434064, 0.21609063317880814]]","[[64171120.0, 64171120.0]]",4.83
